import adsk.core; app=adsk.core.Application.get(); ui=app.userInterface; print('FUSION_COMMAND_CATALOG_BEGIN'); print(chr(10).join([ui.commandDefinitions.item(i).id+chr(9)+ui.commandDefinitions.item(i).name for i in range(ui.commandDefinitions.count)])); print('FUSION_COMMAND_CATALOG_END') 
FUSION_COMMAND_CATALOG_BEGIN
AlertCommand	Alert
ActiveDocumentActivateCommand	Make Editable
ActiveDocumentDeactivateCommand	Make Read-Only
ActiveDocumentsShowActiveDocumentsListCommand	Manage documents
ActiveDocumentsLearnMoreBasicAccessCommand	Learn More
ExpiredUserNavigationCmdDef	Renew Fusion Subscription
RestrictedUserCommand	Restricted User
LoadInHomeTabCommand	Load In Home Tab
ShareFeedbackCommand	Share Feedback
GoToFusionTeamCmdDef	
NTestExcCommand	Show NTest
SidePanelCommand	Side Panel Execute JS Command
ContentPanelCommand	Content Panel Execute JS Command
DataPanelCommand	Data Panel Execute JS Command
HomeTabCommand	Execute a command on HomeTab component
ExtensionManagerCommand	Extension Manager Execute JS Command
PersonalizationScreenCommand	Personalization Screen Execute JS Command
PerfFeedbackRecorderCmd	Report Performance Issue
ChatCommand	Autodesk Assistant
AAChatCommand	Autodesk Assistant
AANewChatCommand	Autodesk Assistant
PreviewImageCommand	Preview Image
NTestExcMetaCommand	Show NTest
CopyCommand	Copy
PasteCommand	Paste
SaveAsSATCommand	Save As SAT
SaveAsASMCommand	Save As ASM
MaterialCommand	Manage Materials
PhysicalMaterialEditOnlyCommand	Manage Physical Materials
SuppressAppearanceCmd	Suppress Appearance Overrides
RemoveOverrideCommand	Remove Appearance Override
ShowAffectedFacesCommand	Show Affected Faces
DataBrowserCommand	Launch Data Browser
InspectAssemblyCommand	Inspect Assembly Command
DumpEntityCommand	Dump Entity Info
SanityCheckCommand	Sanity check bodies
ASMDebugOptionsCommand	ASM Debug Options
ASMDebugChecksCommand	ASM Debug Checks
EntityFinderCommand	Entity Finder
ShowAllComponentsCmd	Show All Components
ShowAllBodiesCmd	Show All Bodies
SelectabilityToggleCmd	Selectable/Unselectable
PlanesVisibilityToggleCmd	Show/Hide Planes
AxesVisibilityToggleCmd	Show/Hide Axes
PointsVisibilityToggleCmd	Show/Hide Points
ShowAllGroupMembersCmd	Show All
PythonInteractiveCommand	Interactive command to run Python Script...
PythonSequentialCommand	Sequential command to run Python Script...
CommentObjectCommand	CommentObject
ViewCommentCmd	ViewComment
MeasureCommand	Measure
CycleComponentColorCmd	Cycle Component Color
RemoveVisibilityOverridesCommand	Remove Visibility Overrides
CreateSelectionGroupCmd	Create Selection Set
SelectSelectionGroupCmd	Select
UpdateSelectionGroupCmd	Update Selection Set
Extrude	Extrude
FusionExtrudeEditCommand	Edit Feature 
FusionSurfaceExtrudeEditCommand	Edit Feature 
FusionComputeAllCommand	Compute All
ConvertToPMDesignCommand	Change to Parametric Modeling
FusionOffsetFacesCommand	Offset Face
FusionOffsetFacesEditCommand	Edit Feature 
SurfaceExtrude	Extrude
FusionActivateLocalCompCmd	Activate
OpacityControlCmd	Opacity Control
OpacityCtrlTenCmd	10%
OpacityCtrlTwentyCmd	20%
OpacityCtrlThirtyCmd	30%
OpacityCtrlFortyCmd	40%
OpacityCtrlFiftyCmd	50%
OpacityCtrlSixtyCmd	60%
OpacityCtrlSeventyCmd	70%
OpacityCtrlEightyCmd	80%
OpacityCtrlNinetyCmd	90%
OpacityCtrlHundredCmd	100%
CustomOpacityControlCmd	Custom Opacity
QuickSketchAutoConstraintCommand	Quick Sketch Auto Constraint
ADEAutoArrangeDimensionCmd	Auto Arrange Dimension
GhostedBodyToggleCommand	Show/Hide associated bodies
FusionImportCommand	Insert Component
FusionImportCommandFromToolbar	Insert Component
FusionImportFromLocalCommand	Insert Component from a local File
FusionImportAndReplaceCommand	Replace Component
FusionChangeActiveUnitsCommand	Change Active Units
FusionChangeActiveUnitsInternalCommand	Change Active Units
PIMAssignItemNumberCmd	Assign Item Number
PIMQuickReleaseCmd	Quick Release
PIMECOReleaseCmd	Release with Change Order
PIMGoToDashboardCmd	Dashboard
PIMGoToItemDetailsCmd	Details
PIMGoToChangeOrderCmd	Change Orders
MaterializedBomCmd	Bill of Materials
MaterializedBomHybridCmd	Bill of Materials
PartNumberMembersCmd	Shared Part Number
ChangeThreadTypeCommand	Change Thread Type
FusionDeleteCommand	Delete
FusionResolveMissingXRefCmd	Resolve Component
FusionChangePMISettingsCmd	Change PMI Settings
RenderingEnvCmd	Scene Settings
AppearanceCommand	Appearance
PhysicalMaterialCommand	Physical Material
MaterializedBomNTestCmdDef	MaterializedBomNTest Execute JS Command
FusionRemoveOverrideCommand	Remove Appearance Override
ReturnToExternalAppCmdDefINV	Return to Inventor
ReturnToExternalAppCmdDefACAD	Return to AutoCAD
ReturnToExternalAppCmdDefMoldflow	Return to Moldflow
FusionFilletEdgesCommand	Fillet
FusionGapFillCommand	Gap Fill
DCFusionGapFillEditCmd	Edit Feature 
FusionFilletEditCommand	Edit Fillet
FusionHoleCommand	Hole
FusionHoleEditCommand	Edit Hole
FusionDcHoleEditCommand	Edit Feature 
FusionThreadCommand	Thread
FusionThreadEditCommand	Edit Thread
FusionDcThreadEditCommand	Edit Feature 
FusionChamferCommand	Chamfer
FusionChamferEditCommand	Edit Chamfer
FusionDeleteFacesCommand	Delete Faces
FusionDcDeleteFaceEditCommand	Edit Feature 
FusionReplaceFaceCommand	Replace Face
EmbossCmd	Emboss
